Company_Name, Price ,Year,year1,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Interest  Discount on Advances  Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Interest Earned,Other Income,Total Income,Interest Expended,Payments to and Provisions for Employees,Depreciation,Operating Expenses (excludes Employee Cost & Depreciation),Total Operating Expenses,Provision Towards Income Tax,Other Provisions and Contingencies,Total Provisions and Contingencies,Total Expenditure,Net Profit  Loss for The Year,Net Profit  Loss After EI & Prior Year Items,Total Profit  Loss available for Appropriations,Transfer To  From Statutory Reserve,Transfer To  From Capital Reserve,Transfer To  From Revenue And Other Reserves,Equity Share Dividend,Tax On Dividend,Balance Carried Over To Balance Sheet,Total Appropriations,Basic EPS (Rs.),Diluted EPS (Rs.)
Balance Sheet of IndusInd Bank,1601.75,15-Mar,2015,598.15,598.15,374.59,19658.18,20032.77,20646.12,126572.22,22453.69,8976.38,178648.41,7748.75,10879.51,36702.14,113080.51,1335.23,8902.28,178648.41,1200,25314,15,15,1,1054.87,1,438.91,0,0,19006.91,406387.19,11479.11,2466.89,330.83,128.84,14405.67,4171.49,18577.16,8343.07,1521.02,190.7,3071.36,4783.08,1681.33,1091.34,2583.13,15709.27,2867.89,2867.89,7881.35,716.97,45.54,0,0.46,0,7118.38,7881.35,48.06,47.56
Balance Sheet of IndusInd Bank,1601.75,14-Mar,2014,594.99,594.99,380.77,16706.45,17087.22,17695.98,93000.35,22155.86,7204.81,140056.99,4521.04,5590.83,31214.31,88419.34,1255.32,9056.14,140056.99,1000,23060,16,15,1,776.82,1,321.75,0,0,20272.94,278589.23,9244.56,1780.63,408.5,146.97,11580.66,3296.95,14877.61,7064.09,1236.09,156.52,2279.49,3672.1,1332.38,672.16,1854.97,12591.16,2286.45,2286.45,5950.47,571.61,13.21,0,292.62,59.57,5013.45,5950.47,39.68,39.26
Balance Sheet of DCB Bank,177.5,18-Mar,2018,308.08,308.08,250.44,2247.9,2498.34,2807.83,24006.86,1926.71,1480.69,30222.09,1136.39,1235.59,6218.96,20336.69,494.02,800.44,30222.09,318,5790,16,13,4,369.03,2,146.72,1,1,409.32,6948.35,1940.27,420.79,18.03,33.9,2412.99,310.28,2723.26,1417.56,381.23,53.36,346.14,780.73,167.83,138.8,279.63,2477.92,245.34,245.34,519.41,61.34,3.24,-6.07,18.49,0,426.71,519.41,8.02,7.85
Balance Sheet of DCB Bank,204.45,17-Mar,2017,285.36,285.36,256.5,1661.43,1917.94,2204.88,19289.21,1275.81,1276.48,24046.38,858.3,334.16,5817.94,15817.63,488.57,729.77,24046.38,262,4979,14,12,2,254.2,2,124.41,1,1,434.53,2629.74,1647.95,393.52,5.78,28.9,2076.15,249.45,2325.6,1279.06,308.03,39.03,281.27,628.33,115.72,111.49,218.53,2125.92,199.68,199.68,336.19,49.92,1.8,-2.41,0,0,274.07,336.19,7.01,6.87
Balance Sheet of DCB Bank,120.9,16-Mar,2016,284.44,284.44,50.22,1455.98,1506.2,1792.17,14925.99,1147.9,1252.47,19118.52,703.37,188.2,4333.33,12921.39,248.02,724.22,19118.52,198,4248,14,13,1,197.38,2,97.46,1,1,657.16,1807.55,1354.11,307.78,3.77,32.81,1698.46,220.46,1918.92,1078.96,245.09,30.28,215.56,490.93,99.22,87.91,154.5,1724.4,194.52,194.52,190.3,48.63,0.68,-2.37,0,0,136.51,190.3,6.86,6.77
Balance Sheet of DCB Bank,177.5,15-Mar,2015,282.01,282.01,51.41,1251.95,1303.36,1588.58,12609.13,1163.8,770.81,16132.31,633.68,85.49,4470.56,10465.06,236.68,240.83,16132.31,154,3352,15,14,1,186.07,2,105.7,1,1,375.71,2456.57,1098.28,282.52,5.11,36.51,1422.42,165.72,1588.14,914.2,196.03,23.36,177.1,396.49,48.49,47.57,86.26,1396.95,191.18,191.18,46.65,47.8,0.03,0,0,0,-4.23,46.65,7.21,7.03
Balance Sheet of DCB Bank,177.5,14-Mar,2014,250.32,250.32,52.6,848.07,900.67,1153.96,10325.16,860.16,583.86,12923.14,505.07,184.5,3634.22,8140.19,238.64,220.51,12923.14,130,0,14,13,1,138.45,2,74.02,1,1,680.34,2271.16,867.87,245.31,14.24,0.84,1128.26,138.66,1266.92,759.87,157.08,17.97,144.03,319.09,1.84,34.76,36.6,1115.56,151.36,151.36,-98.1,37.84,0.22,0,0,0,-138.41,-98.1,6.05,5.99
Balance Sheet of Karnataka Bank,113.9,18-Mar,2018,282.62,282.62,416.22,4711.32,5127.53,5410.15,62871.29,815.97,1276.27,70373.68,3545.82,55.19,15444.45,47251.75,761.6,3314.86,70373.68,800,8185,12,11,1,2376.07,5,1400.51,3,3,2407.27,7519.18,4081.93,1161.53,15.87,164.42,5423.75,954.34,6378.09,3566.1,524.79,50.06,763.98,1338.83,-15.45,1163.01,1147.56,6052.49,325.61,325.61,462.75,82,51.05,91.25,113.04,23.01,102.23,462.75,11.52,11.52
Balance Sheet of Karnataka Bank,161.6,17-Mar,2017,282.62,282.62,0,4859.97,4859.97,5142.58,56733.11,832.62,1418.23,64126.55,2929.27,344.76,20219.73,37003.65,720.57,2908.57,64126.55,765,7981,13,12,1,1581.59,4,974.73,3,3,1925.77,5336.03,3793.56,1298.23,2.19,91.42,5185.4,809.34,5994.74,3694.78,601.03,49.75,653.38,1304.16,15.69,527.85,543.54,5542.48,452.26,452.26,452.29,125,112.8,45.3,0,0,137.14,452.29,19.38,19.38
Balance Sheet of Karnataka Bank,141.45,16-Mar,2016,188.47,188.47,0,3502.12,3502.12,3690.58,50488.21,1051.48,1270.06,56500.33,2645.62,399.3,16256.65,33902.45,306.64,2989.67,56500.33,725,7792,12,11,1,1180.4,3,795.47,2,2,2018.33,5367.36,3700.48,1189.9,2.6,99.23,4992.21,542.86,5535.07,3689.34,443.02,42.23,505.94,991.2,112.71,326.53,439.24,5119.78,415.29,415.29,415.69,230,8.85,41.4,94.23,19.18,0.03,415.69,22.04,22.03
